pid,state,eventid,hashKey,submit_time,timestamp,timestampString
9991n,USER_IDLE,8,1538073495000USER_IDLE9991n,"2018-09-27 11:48:36",1538073495000,"2018-09-27 11:38:15"
9991n,USER_ACTIVE,7,1538073643000USER_ACTIVE9991n,"2018-09-27 11:48:36",1538073643000,"2018-09-27 11:40:43"
9991n,USER_IDLE,15,1538073740000USER_IDLE9991n,"2018-09-27 11:48:36",1538073740000,"2018-09-27 11:42:20"
9991n,USER_ACTIVE,7,1538073947000USER_ACTIVE9991n,"2018-09-27 11:48:36",1538073947000,"2018-09-27 11:45:47"
9991n,USER_IDLE,15,1538074034000USER_IDLE9991n,"2018-09-27 11:48:36",1538074034000,"2018-09-27 11:47:14"
9991n,USER_ACTIVE,7,1538074040000USER_ACTIVE9991n,"2018-09-27 11:48:36",1538074040000,"2018-09-27 11:47:20"
9991n,USER_IDLE,15,1538074347000USER_IDLE9991n,"2018-09-27 12:18:36",1538074347000,"2018-09-27 11:52:27"
9991n,USER_ACTIVE,7,1538074389000USER_ACTIVE9991n,"2018-09-27 12:18:36",1538074389000,"2018-09-27 11:53:09"
9991n,USER_IDLE,15,1538074484000USER_IDLE9991n,"2018-09-27 12:18:36",1538074484000,"2018-09-27 11:54:44"
9991n,USER_ACTIVE,7,1538074615000USER_ACTIVE9991n,"2018-09-27 12:18:36",1538074615000,"2018-09-27 11:56:55"
9991n,USER_IDLE,15,1538074676000USER_IDLE9991n,"2018-09-27 12:18:36",1538074676000,"2018-09-27 11:57:56"
9991n,USER_IDLE,8,1538075216000USER_IDLE9991n,"2018-09-27 12:18:36",1538075216000,"2018-09-27 12:06:56"
9991n,USER_IDLE,6,1538076116000USER_IDLE9991n,"2018-09-27 12:48:36",1538076116000,"2018-09-27 12:21:56"
9991n,USER_IDLE,8,1538076717000USER_IDLE9991n,"2018-09-27 12:48:36",1538076717000,"2018-09-27 12:31:57"
9991n,USER_IDLE,6,1538077616000USER_IDLE9991n,"2018-09-27 12:48:36",1538077616000,"2018-09-27 12:46:56"
9991n,USER_IDLE,8,1538078217000USER_IDLE9991n,"2018-09-27 13:18:36",1538078217000,"2018-09-27 12:56:57"
9991n,USER_ACTIVE,7,1538078879000USER_ACTIVE9991n,"2018-09-27 13:18:36",1538078879000,"2018-09-27 13:07:59"
9991n,USER_IDLE,15,1538078939000USER_IDLE9991n,"2018-09-27 13:18:36",1538078939000,"2018-09-27 13:08:59"
9991n,USER_IDLE,8,1538079479000USER_IDLE9991n,"2018-09-27 13:18:36",1538079479000,"2018-09-27 13:17:59"
9991n,USER_ACTIVE,7,1538079519000USER_ACTIVE9991n,"2018-09-27 13:48:36",1538079519000,"2018-09-27 13:18:39"
9991n,USER_IDLE,15,1538079579000USER_IDLE9991n,"2018-09-27 13:48:36",1538079579000,"2018-09-27 13:19:39"
9991n,USER_ACTIVE,7,1538080029000USER_ACTIVE9991n,"2018-09-27 13:48:36",1538080029000,"2018-09-27 13:27:09"
9991n,USER_IDLE,15,1538080089000USER_IDLE9991n,"2018-09-27 13:48:36",1538080089000,"2018-09-27 13:28:09"
