"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)"
377,11/02/18 04:11:20 PM,1,1
378,11/02/18 04:11:30 PM,1,0
379,11/02/18 04:11:40 PM,0,0
380,11/02/18 04:11:50 PM,1,1
381,11/02/18 04:12:00 PM,0,0
382,11/02/18 04:12:10 PM,0,0
383,11/02/18 04:12:20 PM,0,0
384,11/02/18 04:12:30 PM,0,0
385,11/02/18 04:12:40 PM,0,0
386,11/02/18 04:12:50 PM,1,0
387,11/02/18 04:13:00 PM,0,1
388,11/02/18 04:13:10 PM,1,0
389,11/02/18 04:13:20 PM,0,0
390,11/02/18 04:13:30 PM,0,0
391,11/02/18 04:13:40 PM,0,0
392,11/02/18 04:13:50 PM,2,2
393,11/02/18 04:14:00 PM,0,0
394,11/02/18 04:14:10 PM,0,0
395,11/02/18 04:14:20 PM,1,1
396,11/02/18 04:14:30 PM,0,0
397,11/02/18 04:14:40 PM,0,0
398,11/02/18 04:14:50 PM,1,1
399,11/02/18 04:15:00 PM,0,0
400,11/02/18 04:15:10 PM,1,0
401,11/02/18 04:15:20 PM,0,0
402,11/02/18 04:15:30 PM,1,1
403,11/02/18 04:15:40 PM,1,1
404,11/02/18 04:15:50 PM,1,1
405,11/02/18 04:16:00 PM,0,0
406,11/02/18 04:16:10 PM,0,0
407,11/02/18 04:16:20 PM,1,1
408,11/02/18 04:16:30 PM,0,0
409,11/02/18 04:16:40 PM,0,0
410,11/02/18 04:16:50 PM,0,0
411,11/02/18 04:17:00 PM,0,0
412,11/02/18 04:17:10 PM,0,0
413,11/02/18 04:17:20 PM,1,1
414,11/02/18 04:17:30 PM,1,0
415,11/02/18 04:17:40 PM,1,1
416,11/02/18 04:17:50 PM,0,0
417,11/02/18 04:18:00 PM,1,1
418,11/02/18 04:18:10 PM,1,1
419,11/02/18 04:18:20 PM,0,0
420,11/02/18 04:18:30 PM,0,0
421,11/02/18 04:18:40 PM,1,0
422,11/02/18 04:18:50 PM,1,1
